entidad,producto,score,coverage,rank
1923,000-000-9341,15.838866942081639,6.0,2
1923,000-000-12450,14.14213562373095,1.0,3
1923,000-000-10129,13.611018215025217,7.0,4
1923,000-000-1999,13.100345841427794,7.0,5
1923,000-000-2001,11.605621021283925,7.0,6
1923,000-000-13451,11.547005383792515,1.0,7
1923,000-000-7198,11.533846773447891,6.0,8
1923,000-000-11646,11.478970541980617,7.0,9
1923,000-000-10204,11.251287091891085,5.0,10
1952,000-000-5312,19.36796014601293,3.0,1
1952,000-000-6596,15.230176404898344,3.0,2
1952,000-000-10342,14.896759560448283,3.0,3
1952,000-000-6074,14.691701695067026,3.0,4
1952,000-000-3465,14.056336335806018,3.0,5
1952,000-000-13358,13.775003198038815,3.0,6
1952,000-000-4056,12.902548352378313,3.0,7
1952,000-000-6072,12.85551810812897,3.0,8
1952,000-000-13783,12.043874008436731,2.0,9
1952,000-000-10340,11.87493743243805,3.0,10
2259,000-000-9419,17.389877986109884,5.0,1
2259,000-000-6020,15.920788460148145,5.0,2
2259,000-000-10174,13.902150717920227,5.0,3
2259,000-000-10130,13.542761112208485,5.0,4
2259,000-000-7198,12.631663143689583,5.0,5
2259,000-000-10129,12.205894268020803,5.0,6
2259,000-000-13268,11.762804315334117,5.0,7
2259,000-000-11834,11.43129759877932,5.0,8
2259,000-000-13348,11.2441286991087,5.0,9
2259,000-000-1999,10.684749295290917,5.0,10
2929,000-000-6074,17.15607001681185,4.0,1
2929,000-000-6140,14.077404506558135,4.0,2
2929,000-000-11283,13.943740511758438,4.0,3
2929,000-000-6072,13.706587605536274,4.0,4
2929,000-000-11913,12.722648202826013,4.0,5
2929,000-000-5312,10.871838637133704,4.0,6
2929,000-000-6596,10.701065191944078,4.0,7
2929,000-000-3466,10.034642794713164,4.0,8
2929,000-000-11586,9.230723633238028,4.0,9
2929,000-000-10342,8.793602091753494,4.0,10
3187,000-000-6020,19.466570535691506,1.0,1
3187,000-000-3176,18.947368421052637,1.0,2
3187,000-000-3777,17.411430002640284,1.0,3
3187,000-000-10130,17.411430002640284,1.0,4
3187,000-000-10174,16.059101370939324,1.0,5
3187,000-000-10173,15.894388284780526,1.0,6
3187,000-000-11834,15.389675281277313,1.0,7
3187,000-000-10129,15.389675281277313,1.0,8
3187,000-000-2001,15.389675281277313,1.0,9
3187,000-000-13348,14.950132046718728,2.0,10
3873,000-000-6020,14.66386720258375,8.0,1
3873,000-000-10130,13.195571770557894,8.0,2
3873,000-000-10129,12.520002036489148,7.0,3
3873,000-000-7198,12.425629168078219,8.0,4
3873,000-000-3777,12.239227997420436,8.0,5
3873,000-000-1999,11.928960385329066,8.0,6
3873,000-000-2001,11.588177118639383,7.0,7
3873,000-000-8721,11.374820605234923,8.0,8
3873,000-000-1782,11.233965232240877,6.0,9
3873,000-000-11827,10.610711836027948,8.0,10
3922,000-000-3176,14.766086317990544,14.0,1
3922,000-000-2001,11.845426170818358,11.0,2
3922,000-000-1999,11.092532528458731,14.0,3
3922,000-000-10204,10.193908497615025,9.0,4
3922,000-000-11828,10.111099671866173,14.0,5
3922,000-000-2170,10.076824787941067,14.0,6
3922,000-000-12450,9.946330867068504,4.0,7
3922,000-000-13216,9.849302905025196,8.0,8
3922,000-000-12882,9.468317540633132,10.0,9
3922,000-000-11646,9.407694312633728,12.0,10
4502,000-000-9341,13.793862165406592,13.0,1
4502,000-000-11834,10.622082748621999,12.0,2
4502,000-000-3777,10.607438489011914,14.0,3
4502,000-000-7198,10.581554635601996,13.0,4
4502,000-000-10204,10.495326764087151,11.0,5
4502,000-000-10885,10.225223924046052,13.0,6
4502,000-000-12882,10.088155554764677,11.0,7
4502,000-000-11809,9.927314076064649,11.0,8
4502,000-000-11803,9.535393934383723,13.0,9
4502,000-000-13348,9.52926573447655,13.0,10
4627,000-000-10130,14.436215336734422,13.0,1
4627,000-000-10129,12.705740889627565,13.0,2
4627,000-000-11646,11.689833040735445,12.0,3
4627,000-000-11834,11.086140411961695,11.0,4
4627,000-000-7198,10.499104101762207,12.0,5
4627,000-000-3777,10.337979221181163,13.0,6
4627,000-000-1782,10.005022480839889,7.0,7
4627,000-000-13099,9.946387463413107,9.0,8
4627,000-000-10204,9.592268207493055,10.0,9
4627,000-000-11809,9.325761417974864,10.0,10
4701,000-000-13325,13.261975304028839,7.0,1
4701,000-000-13349,11.267986111975134,8.0,2
4701,000-000-11913,11.090615091735817,8.0,3
4701,000-000-5312,10.591555708661181,11.0,4
4701,000-000-6072,10.368851421528642,4.0,5
4701,000-000-3465,9.807512467949625,10.0,6
4701,000-000-6596,9.710945053209631,11.0,7
4701,000-000-10340,9.633415914760452,4.0,8
4701,000-000-11586,9.540140546093989,9.0,9
4701,000-000-6973,9.42998867290975,9.0,10
4818,000-000-2001,12.36478623718873,12.0,1
4818,000-000-10129,12.347967573834648,14.0,2
4818,000-000-10204,11.580341542518383,10.0,3
4818,000-000-8721,11.290729832998792,12.0,4
4818,000-000-2170,11.255541436215953,15.0,5
4818,000-000-13348,10.87846455740195,12.0,6
4818,000-000-12882,10.392128510327499,9.0,7
4818,000-000-11828,10.304088136947653,15.0,8
4818,000-000-1732,10.10961134528561,13.0,9
4818,000-000-10885,9.813814127893599,14.0,10
4847,000-000-9419,13.446384100523881,7.0,1
4847,000-000-9341,13.248889503976907,7.0,2
4847,000-000-6020,12.8355881788458,7.0,3
4847,000-000-10204,12.809006374534256,6.0,4
4847,000-000-10130,12.501709853857433,7.0,5
4847,000-000-8721,11.33170588585492,5.0,6
4847,000-000-2170,11.256155139988962,7.0,7
4847,000-000-13099,10.960395606792698,2.0,8
4847,000-000-11809,10.834182127819531,6.0,9
4847,000-000-10174,10.740199422098797,7.0,10
4902,000-000-10130,14.29966356132694,9.0,1
4902,000-000-10129,12.674762114854143,8.0,2
4902,000-000-1999,12.261173517754408,9.0,3
4902,000-000-10173,12.230186785653201,9.0,4
4902,000-000-8721,11.86019999837874,8.0,5
4902,000-000-2170,11.631317556152522,9.0,6
4902,000-000-10174,11.467343134200654,9.0,7
4902,000-000-2001,11.37185103568048,7.0,8
4902,000-000-13268,11.333555256858947,8.0,9
4902,000-000-7198,10.707094283093046,9.0,10
4943,000-000-6072,12.026359429935956,10.0,1
4943,000-000-13612,10.479172412954153,12.0,2
4943,000-000-3274,9.970926075708745,16.0,3
4943,000-000-3466,9.83989153815799,17.0,4
4943,000-000-10342,9.832628593258436,14.0,5
4943,000-000-11586,9.726077325587951,14.0,6
4943,000-000-10340,9.6599347149488,11.0,7
4943,000-000-7167,9.144952095755977,12.0,8
4943,000-000-1009,8.75739104197544,11.0,9
4943,000-000-13151,8.198719067923095,9.0,10
4997,000-000-10130,15.740955749911487,3.0,1
4997,000-000-6020,15.317841296417377,4.0,2
4997,000-000-10129,14.995626615131286,3.0,3
4997,000-000-2001,14.853314355057913,3.0,4
4997,000-000-3176,12.956657717971288,4.0,5
4997,000-000-2170,12.553341823997348,3.0,6
4997,000-000-3777,11.636849524236272,4.0,7
4997,000-000-9341,11.459110714654422,5.0,8
4997,000-000-3113,11.262664124591188,2.0,9
4997,000-000-3092,11.262664124591188,2.0,10
5260,000-000-9341,18.309014431299413,3.0,1
5260,000-000-3176,16.34869432827058,4.0,2
5260,000-000-10130,15.872623237560429,4.0,3
5260,000-000-8721,14.024652647535625,3.0,4
5260,000-000-13348,13.520071331528511,4.0,5
5260,000-000-11834,12.534810107713435,3.0,6
5260,000-000-7198,12.387411266839228,3.0,7
5260,000-000-1999,12.38396020367853,4.0,8
5260,000-000-2170,12.326692281943293,4.0,9
5260,000-000-10173,12.219035597161222,4.0,10
5271,000-000-11283,13.053380721260279,4.0,1
5271,000-000-13358,12.540369061748645,5.0,2
5271,000-000-5312,11.731274604763897,5.0,3
5271,000-000-11586,10.690202488959063,4.0,4
5271,000-000-13612,10.672778928097328,4.0,5
5271,000-000-6973,10.404912377194936,3.0,6
5271,000-000-4056,10.115702489832419,4.0,7
5271,000-000-7049,9.972989854109336,4.0,8
5271,000-000-6072,9.971351708880189,3.0,9
5271,000-000-6074,9.932196005628878,4.0,10
5567,000-000-7167,11.513363319011258,5.0,1
5567,000-000-6074,10.415937513657656,5.0,2
5567,000-000-10342,10.360783560176463,3.0,3
5567,000-000-13349,10.095155862110357,8.0,4
5567,000-000-13325,9.836481316044482,7.0,5
5567,000-000-11586,9.8120810268054,4.0,6
5567,000-000-13783,9.772641273854527,8.0,7
5567,000-000-6140,9.746293539151797,8.0,8
5567,000-000-6973,9.48843497506462,7.0,9
5567,000-000-6072,9.441922390260652,3.0,10
5625,000-000-10342,13.228070848468818,5.0,1
5625,000-000-11586,12.987987600694717,5.0,2
5625,000-000-3465,12.486856543198702,7.0,3
5625,000-000-6074,12.25358113625253,7.0,4
5625,000-000-1009,10.730735507952177,6.0,5
5625,000-000-13612,10.704683547437753,4.0,6
5625,000-000-10340,10.639803620242144,5.0,7
5625,000-000-6072,10.453555356415213,5.0,8
5625,000-000-13324,10.132584182369143,7.0,9
5625,000-000-4056,9.8769664308256,7.0,10
5710,000-000-9419,14.2179921108673,7.0,1
5710,000-000-2001,14.111915011773059,5.0,2
5710,000-000-3176,13.81293048586775,7.0,3
5710,000-000-10130,13.651209540591331,6.0,4
5710,000-000-10129,12.67041964478349,5.0,5
5710,000-000-1782,11.963512607928525,4.0,6
5710,000-000-2170,11.636299728796786,6.0,7
5710,000-000-9341,11.441121905515875,7.0,8
5710,000-000-11646,10.685351092398308,7.0,9
5710,000-000-7198,10.213842423705172,6.0,10
5714,000-000-10130,13.759371438966971,10.0,1
5714,000-000-10129,12.64099510377058,9.0,2
5714,000-000-10173,12.401258954151412,10.0,3
5714,000-000-11834,11.708899346887057,10.0,4
5714,000-000-11646,11.191853002604363,8.0,5
5714,000-000-10174,11.059174791636128,10.0,6
5714,000-000-11803,10.351939135316293,8.0,7
5714,000-000-1999,10.27721602844354,10.0,8
5714,000-000-2001,10.042095791820309,8.0,9
5714,000-000-12450,9.946330867068504,4.0,10
5741,000-000-11283,14.209362005641712,8.0,1
5741,000-000-13358,11.753880846443488,9.0,2
5741,000-000-4053,10.847168215525535,6.0,3
5741,000-000-3466,10.674129611776541,7.0,4
5741,000-000-6074,10.653786071509666,7.0,5
5741,000-000-10342,10.569863628002274,8.0,6
5741,000-000-6072,10.544547809947307,6.0,7
5741,000-000-11913,10.366994474694808,7.0,8
5741,000-000-4056,9.97380703228824,7.0,9
5741,000-000-10340,9.909185281427655,6.0,10
5771,000-000-3465,14.230328965383919,6.0,1
5771,000-000-6072,13.257078224957064,5.0,2
5771,000-000-6596,12.925775241195344,6.0,3
5771,000-000-4056,12.859045684648175,6.0,4
5771,000-000-4053,12.724576375668327,6.0,5
5771,000-000-11586,12.718307456680177,5.0,6
5771,000-000-10342,11.763888056143184,5.0,7
5771,000-000-11913,11.532074617112116,6.0,8
5771,000-000-10340,11.17553965072863,5.0,9
5771,000-000-13358,11.122304033961358,6.0,10
5833,000-000-10130,13.369108238548591,5.0,1
5833,000-000-9419,13.298333422234242,5.0,2
5833,000-000-2170,13.191087828231582,5.0,3
5833,000-000-7198,12.995786605675239,5.0,4
5833,000-000-11646,12.421790697287706,5.0,5
5833,000-000-6020,12.070269053880194,5.0,6
5833,000-000-11828,11.351457433202663,5.0,7
5833,000-000-1999,11.141099915968832,5.0,8
5833,000-000-10173,11.119926516660183,5.0,9
5833,000-000-10129,10.936519848024783,5.0,10
5905,000-000-6074,17.303663518807085,3.0,1
5905,000-000-5312,17.21149315571172,3.0,2
5905,000-000-4053,16.975744754476356,3.0,3
5905,000-000-6596,16.046583897858053,3.0,4
5905,000-000-6072,14.80326209504561,3.0,5
5905,000-000-3465,13.997203346580974,3.0,6
5905,000-000-13358,12.968147727989738,3.0,7
5905,000-000-3274,12.848162126832085,3.0,8
5905,000-000-10340,12.315124696465874,3.0,9
5905,000-000-11586,12.21641214862264,3.0,10
5981,000-000-6596,11.941101956545895,6.0,1
5981,000-000-13325,11.696765882254942,6.0,2
5981,000-000-13324,11.279830524517774,7.0,3
5981,000-000-6973,11.24784133621371,6.0,4
5981,000-000-11586,10.353102308940889,4.0,5
5981,000-000-11283,10.15052436534661,6.0,6
5981,000-000-13326,10.043591764910554,6.0,7
5981,000-000-12625,9.768237438493971,8.0,8
5981,000-000-7167,9.749612977166914,6.0,9
5981,000-000-1009,9.560954573715193,5.0,10
6011,000-000-5312,14.995143568826451,3.0,1
6011,000-000-11283,14.33664767295756,3.0,2
6011,000-000-13358,14.2298783005307,3.0,3
6011,000-000-4056,12.534140730530966,3.0,4
6011,000-000-11586,12.212361866292767,3.0,5
6011,000-000-3312,12.153048693357647,3.0,6
6011,000-000-13783,11.612873100269445,3.0,7
6011,000-000-4053,11.596836342577532,3.0,8
6011,000-000-3465,11.233046773215486,3.0,9
6011,000-000-1009,11.086700567488753,3.0,10
6110,000-000-3176,17.001847447213436,8.0,1
6110,000-000-10129,15.190860986024136,7.0,2
6110,000-000-2170,13.55582398849975,8.0,3
6110,000-000-10174,12.69729454379668,8.0,4
6110,000-000-10173,12.594992081985179,8.0,5
6110,000-000-7198,12.154316746328096,8.0,6
6110,000-000-12882,11.679344634224599,6.0,7
6110,000-000-13348,11.09590593471631,8.0,8
6110,000-000-3777,10.869102605163665,8.0,9
6110,000-000-11828,10.775995689750253,8.0,10
6154,000-000-13325,15.896967206756672,3.0,1
6154,000-000-13612,14.494104813865412,3.0,2
6154,000-000-13349,14.129200253790303,3.0,3
6154,000-000-1009,12.18542950755103,2.0,4
6154,000-000-13324,10.521080140504539,5.0,5
6154,000-000-13783,10.117399707282969,5.0,6
6154,000-000-11913,10.046717349151674,2.0,7
6154,000-000-7049,9.642188501615676,3.0,8
6154,000-000-13151,8.692921553835436,5.0,9
6154,000-000-6140,8.631913673507214,5.0,10
6172,000-000-6072,13.903896910767227,7.0,1
6172,000-000-5312,13.869802796451062,8.0,2
6172,000-000-3465,13.005994459858805,8.0,3
6172,000-000-11913,10.735711719628245,8.0,4
6172,000-000-11586,10.633213456708791,7.0,5
6172,000-000-10340,10.460090161493635,7.0,6
6172,000-000-13358,10.414642090273825,8.0,7
6172,000-000-10342,10.095218449840692,7.0,8
6172,000-000-1009,9.645472526211668,4.0,9
6172,000-000-13612,9.108933601640448,3.0,10
6294,000-000-1009,9.593490299904767,11.0,1
6294,000-000-13783,8.337966318385016,12.0,2
6294,000-000-12625,8.275826145730893,13.0,3
6294,000-000-13325,8.061838191738696,14.0,4
6294,000-000-3312,7.782022718196411,9.0,5
6294,000-000-13324,7.743258611636593,15.0,6
6294,000-000-13326,7.6448824103350095,15.0,7
6294,000-000-3870,7.59239783405412,10.0,8
6294,000-000-13296,7.169874506359566,12.0,9
6294,000-000-6973,6.553541298954116,15.0,10
6301,000-000-3777,16.01375637253097,4.0,1
6301,000-000-6020,14.589360875237904,4.0,2
6301,000-000-3176,14.487010794762034,4.0,3
6301,000-000-10130,14.037332834925731,4.0,4
6301,000-000-8721,13.97355923656784,4.0,5
6301,000-000-10129,13.909724719068382,4.0,6
6301,000-000-11834,12.791690730318487,4.0,7
6301,000-000-2001,12.58345168542507,3.0,8
6301,000-000-7198,12.267845871153202,4.0,9
6301,000-000-10174,10.681442009401497,4.0,10
6358,000-000-10174,15.133704066864412,3.0,1
6358,000-000-3176,14.573381487042349,3.0,2
6358,000-000-9419,12.974529496928133,3.0,3
6358,000-000-11834,12.558027934509477,3.0,4
6358,000-000-2170,12.156504239471168,3.0,5
6358,000-000-1782,11.830127018922191,2.0,6
6358,000-000-1999,11.077785545591306,3.0,7
6358,000-000-10130,10.878569029158207,3.0,8
6358,000-000-6020,10.85406428604382,3.0,9
6358,000-000-10129,10.686744723076904,3.0,10
6406,000-000-13612,18.371173070873834,1.0,1
6406,000-000-1009,12.18542950755103,2.0,2
6406,000-000-6140,8.505786839069062,2.0,3
6406,000-000-13358,8.40874522895503,2.0,4
6406,000-000-11283,7.821155129656681,2.0,5
6406,000-000-13325,7.5,1.0,6
6406,000-000-11913,7.5,1.0,7
6406,000-000-13349,7.5,1.0,8
6406,000-000-3313,7.325405387724179,3.0,9
6406,000-000-7167,7.10997720618484,3.0,10
6492,000-000-10130,17.879461475564675,5.0,1
6492,000-000-9419,16.45269712175943,5.0,2
6492,000-000-2001,15.558430091126406,5.0,3
6492,000-000-9341,13.670449603013974,5.0,4
6492,000-000-10129,13.168251426086323,5.0,5
6492,000-000-11828,12.685529079570141,5.0,6
6492,000-000-11803,12.416484725818766,5.0,7
6492,000-000-10173,12.191564885161466,5.0,8
6492,000-000-10885,11.709887538314174,5.0,9
6492,000-000-10174,11.522600831380572,5.0,10
6605,000-000-3465,11.702623946232627,9.0,1
6605,000-000-10340,11.492352402160945,7.0,2
6605,000-000-6072,11.35931792799885,7.0,3
6605,000-000-11913,11.229273741216087,7.0,4
6605,000-000-3466,11.03185776851059,8.0,5
6605,000-000-6074,10.819243954588497,8.0,6
6605,000-000-4056,10.12920383543015,8.0,7
6605,000-000-4053,9.683975361623633,7.0,8
6605,000-000-3274,9.297386291810412,7.0,9
6605,000-000-3313,9.29272784888271,10.0,10
6761,000-000-5312,14.004662227322745,8.0,1
6761,000-000-6596,12.046030920392147,8.0,2
6761,000-000-10340,11.475474197857952,8.0,3
6761,000-000-11913,11.183607026179267,8.0,4
6761,000-000-11586,10.961536403962683,8.0,5
6761,000-000-10342,10.270372634077926,8.0,6
6761,000-000-13358,9.525743484704094,8.0,7
6761,000-000-3466,9.498638688614637,8.0,8
6761,000-000-12625,9.310045919146763,7.0,9
6761,000-000-1009,8.862055360115749,4.0,10
6797,000-000-1009,12.18542950755103,2.0,1
6797,000-000-3313,8.616399836459985,2.0,2
6797,000-000-6140,8.505786839069062,2.0,3
6797,000-000-13358,8.40874522895503,2.0,4
6797,000-000-11283,7.821155129656681,2.0,5
6797,000-000-5312,6.745116625027412,2.0,6
6797,000-000-11586,6.5824829046386295,2.0,7
6797,000-000-3465,6.324555320336758,1.0,8
6797,000-000-13296,5.561862178478972,2.0,9
6797,000-000-13151,5.561862178478972,2.0,10
6822,000-000-6074,13.79826241026242,8.0,1
6822,000-000-11586,13.241662120401704,8.0,2
6822,000-000-4053,12.901290811664634,8.0,3
6822,000-000-3465,11.726196480073916,8.0,4
6822,000-000-13358,11.573394303306284,8.0,5
6822,000-000-3274,10.277682402475607,8.0,6
6822,000-000-11913,9.882984202706602,8.0,7
6822,000-000-3466,9.685368185007391,8.0,8
6822,000-000-13783,9.540109181169253,5.0,9
6822,000-000-1009,9.280399813793219,6.0,10
6831,000-000-6973,6.123724356957944,1.0,1
6831,000-000-13783,5.47722557505166,1.0,2
6831,000-000-6596,5.0,1.0,3
6831,000-000-5312,4.47213595499958,1.0,4
6831,000-000-6140,3.3968311024337874,1.0,5
6831,000-000-9341,0.0,0.0,6
6831,000-000-9419,0.0,0.0,7
6831,000-000-7049,0.0,0.0,8
6831,000-000-7167,0.0,0.0,9
6831,000-000-7198,0.0,0.0,10
6901,000-000-11283,16.08159322790106,4.0,1
6901,000-000-6074,15.631180080720076,4.0,2
6901,000-000-5312,13.798696792661397,4.0,3
6901,000-000-6072,13.606951349374642,4.0,4
6901,000-000-3465,13.139274813898076,4.0,5
6901,000-000-3274,11.844055036724576,4.0,6
6901,000-000-13358,11.69701231563339,4.0,7
6901,000-000-3313,11.120522125691929,4.0,8
6901,000-000-10340,10.41502308571506,4.0,9
6901,000-000-11586,10.2659697642151,4.0,10
6975,000-000-4053,19.032420188870454,2.0,1
6975,000-000-6074,16.33016105941441,2.0,2
6975,000-000-11283,15.507636248487172,3.0,3
6975,000-000-6596,15.018586949967435,3.0,4
6975,000-000-6072,14.92882439147843,2.0,5
6975,000-000-5312,13.16090327782768,3.0,6
6975,000-000-13358,12.53888227419157,3.0,7
6975,000-000-3274,12.397004462536538,2.0,8
6975,000-000-3465,12.22384053824294,3.0,9
6975,000-000-3870,11.61110731095397,2.0,10
7031,000-000-6596,12.697711023169832,10.0,1
7031,000-000-3465,11.87463889256166,10.0,2
7031,000-000-10342,11.494373684779752,10.0,3
7031,000-000-3274,11.394409263378277,10.0,4
7031,000-000-13358,10.14864027790104,10.0,5
7031,000-000-11913,9.908343718630448,10.0,6
7031,000-000-1009,9.465829572663264,6.0,7
7031,000-000-3312,9.448899936348479,4.0,8
7031,000-000-3870,8.544438478020608,6.0,9
7031,000-000-12625,8.315888988735788,7.0,10
7201,000-000-9419,15.394528882085917,6.0,1
7201,000-000-11646,14.814677584581789,4.0,2
7201,000-000-3777,13.88893471061293,6.0,3
7201,000-000-2001,13.624666536097356,6.0,4
7201,000-000-2170,13.444830072911056,5.0,5
7201,000-000-7198,13.443646978503782,4.0,6
7201,000-000-10173,13.04662878382405,6.0,7
7201,000-000-1999,12.996564533011542,6.0,8
7201,000-000-10129,12.513732591853369,6.0,9
7201,000-000-10174,12.146116395387823,6.0,10
7521,000-000-10130,18.102183877128937,3.0,1
7521,000-000-2170,16.760219463165814,3.0,2
7521,000-000-11803,14.616724740930911,3.0,3
7521,000-000-9419,14.365754389417045,4.0,4
7521,000-000-1999,14.154363778410024,4.0,5
7521,000-000-2001,14.117792665540485,3.0,6
7521,000-000-7198,14.033309300589542,3.0,7
7521,000-000-9341,12.507509216590726,4.0,8
7521,000-000-13099,12.084119963750641,2.0,9
7521,000-000-12882,12.084119963750641,2.0,10
7524,000-000-10173,11.408063806771798,14.0,1
7524,000-000-10174,11.279079007064995,14.0,2
7524,000-000-3777,11.053538342066853,14.0,3
7524,000-000-11809,10.241080978065536,11.0,4
7524,000-000-12882,9.982621072976242,11.0,5
7524,000-000-13268,9.829878874529305,11.0,6
7524,000-000-11828,9.779062016924488,15.0,7
7524,000-000-8721,9.611088617231497,11.0,8
7524,000-000-11834,9.584355928996041,14.0,9
7524,000-000-3113,9.396663274892768,12.0,10
7543,000-000-6074,12.551264174414703,7.0,1
7543,000-000-11586,12.47009848826438,8.0,2
7543,000-000-10342,12.166923894418574,8.0,3
7543,000-000-11913,11.51253099219349,7.0,4
7543,000-000-4053,10.363425908359968,7.0,5
7543,000-000-4056,10.070877765870236,8.0,6
7543,000-000-3274,10.023749479565728,7.0,7
7543,000-000-6072,9.893515680368742,7.0,8
7543,000-000-13783,9.64611982843676,8.0,9
7543,000-000-10340,9.3489192273519,7.0,10
7554,000-000-6020,16.888254489290432,3.0,1
7554,000-000-10130,15.740955749911487,3.0,2
7554,000-000-10129,14.995626615131286,3.0,3
7554,000-000-3176,14.981386285256098,3.0,4
7554,000-000-2001,14.853314355057913,3.0,5
7554,000-000-3777,13.934660535564172,3.0,6
7554,000-000-9341,13.629681853312256,4.0,7
7554,000-000-10174,12.60044508883139,3.0,8
7554,000-000-2170,12.553341823997348,3.0,9
7554,000-000-10173,11.574571724451374,3.0,10
8035,000-000-6020,14.560544834751155,8.0,1
8035,000-000-3777,13.488115076911551,8.0,2
8035,000-000-10130,12.992090095221226,8.0,3
8035,000-000-10129,12.370637915075337,7.0,4
8035,000-000-11646,11.628834642279267,7.0,5
8035,000-000-11834,11.15047465680296,8.0,6
8035,000-000-1999,11.085400893320593,8.0,7
8035,000-000-11803,10.976000872474398,7.0,8
8035,000-000-2001,10.910546191460446,7.0,9
8035,000-000-12882,10.88107435930695,5.0,10
8257,000-000-2170,12.045148217695738,13.0,1
8257,000-000-7198,11.33827322761699,12.0,2
8257,000-000-11646,11.18989527671273,12.0,3
8257,000-000-8721,10.947362802898018,12.0,4
8257,000-000-11828,10.765644697995944,13.0,5
8257,000-000-11834,10.703655469246486,11.0,6
8257,000-000-13268,9.882251942187843,11.0,7
8257,000-000-3113,9.737965611415238,10.0,8
8257,000-000-3092,9.737965611415238,10.0,9
8257,000-000-10885,9.051089885838788,13.0,10
8666,000-000-6140,16.986180550664315,3.0,1
8666,000-000-10340,15.022035443504823,2.0,2
8666,000-000-6072,13.085543770401115,2.0,3
8666,000-000-11586,12.942855751589756,3.0,4
8666,000-000-13358,12.899454500306783,3.0,5
8666,000-000-6596,12.788329131396225,3.0,6
8666,000-000-6074,12.55627142063757,3.0,7
8666,000-000-3465,12.425451106357224,3.0,8
8666,000-000-4056,12.34935411830401,2.0,9
8666,000-000-10342,11.68135696233655,3.0,10
9093,000-000-13326,12.910846230326996,11.0,1
9093,000-000-11913,10.149151172271633,11.0,2
9093,000-000-13151,9.846144147621883,9.0,3
9093,000-000-11283,9.617831682234405,10.0,4
9093,000-000-6072,9.58460036293206,3.0,5
9093,000-000-5312,9.476154321164422,11.0,6
9093,000-000-10342,9.29421764669911,6.0,7
9093,000-000-13358,9.094139935478747,11.0,8
9093,000-000-11586,9.034834924321297,6.0,9
9093,000-000-13296,8.996108639304682,10.0,10
9155,000-000-3274,13.027583663349272,5.0,1
9155,000-000-6596,12.924954481373955,7.0,2
9155,000-000-6072,12.886657983002726,5.0,3
9155,000-000-13358,12.562261216893473,7.0,4
9155,000-000-11586,12.352875355595813,6.0,5
9155,000-000-4056,12.010028039323805,6.0,6
